menial task;niedere Tätigkeit/Arbeit
assembly line;Fließband
to be aggravated;verschlimmert/verschärft werden
the tertiary/service sector;der tertiäre Sektor, Dienstleistungssektor
the secondary sector;der sekundäre Sektor
to be in full swing;voll im Gange sein
to amass a fortune;ein Vermögen anhäufen
entrepreneurial spirit;Unternehmergeist
freelancer;Selbständiger, Freiberufler
social benefits;Sozialleistungen
temp;Zeitarbeiter, Aushilfe
zero-hour contract;Null-Stunden-Vertrag
teleworking;Fernarbeit
maternity leave;Mutterschaftsurlaub
parental leave;Karenz
the public sector;der öffentliche Sektor, Staatssektor
mundane work;alltägliche Arbeit
to sack somebody;jemanden rausschmeißen/an die Luft setzen
to be put off by something;sich von etwas abschrecken lassen
child-care facility;Betreuungseinrichtung für Kinder
the better-off;die Besserverdienenden
nursery;Kinderkrippe
incentive;(finanzieller) Anreiz
breadwinner;Hauptverdiener
stay-at-home wife;Ehefrau, die nicht Arbeiten geht
single-parent household;Haushalt mit nur einem Elternteil
to be likely to do something;etwas wahrscheinlich tun
to manage on/without something;mit/ohne etwas auskommen
emerging markets;Schwellenländer/-märkte
to work long hours;lange arbeiten, Überstunden machen
to ensure something;etwas gewährleisten/sicherstellen
equal pay for equal work;gleiche Bezahlung bei gleicher Arbeit
managerial ...;Führungs- ...
male preserve;Männerdomäne
segregated;getrennt
level of pay;Gehaltsstufe
across the board;druchwegs, in allen Bereichen
setback;Rückschlag
boardroom;Vorstand/Chefetage
executive board;Vorstand
senior manager;Manager auf der obersten Führungsebene
to recruit somebody;jemanden einstellen
to promote somebody;jemanden befördern
top executive;leitender Angestellter; Spitzenkraft
HR - Human Resources;Personalabteilung
to work unsocial hours;außerhalb der normalen Arbeitszeit arbeiten
to be reluctant to do something;etwas nur ungern/zögerlich tun
promotion;Beförderung
to socialise;Kontakt knüpfen
to put yourself forward for something;sich für etwas vorschlagen/empfehlen
job centre;Arbeitsamt
to trigger something;etwas auslösen
mood swing;Stimmungsschwankung
the level out;sich einpendeln, sich ausgleichen
job prospects;Jobaussichten, berufliche Perspektiven
unemployment insurance;Arbeitslosengeld
economic downturn;Konjunkturabschwung
transferable skills;übertragbare/verallgemeinerbare Kenntnisse und Fähigkeiten
stamina;Durchhaltevermögen
to be good with numbers;gut mit Zahlen umgehen können
to have good eyesight;gute Augen haben
sense of balance;Gleichgewichtssinn
to be sensitive to people's feelings;einfühlsam sein
to challenge somebody to something;jemanden zu etwas herausfordern
to threaten to do something;damit drohen, etwas zu tun
to be desperate to ...;etwas unbedingt ...
to be on course to do something;auf dem besten Weg sein, etwas zu tun
with distinction;mit Auszeichnung
at first hand;unmittelbar, hautnah
aptitude;Begabung, Talent
to fall into place;sich von selbst ergeben
bold;mutig, kühn
diligent;gewissenhaft, fleißig
decisive;entschlossen, entscheidungsfreudig
thrifty;sparsam
build trust;Vertrauen aufbauen
take risks;Risiken eingehen
balanced personality;ausgeglichene Persönlichkeit
positive outlook on life;positive Lebenseinstellung
social skills;Sozialkompetenz
confidence;Selbstvertrauen
endurance;Durchhaltevermögen, Ausdauer
letter of recommendation;Empfehlungsschreiben
to whom it may concern;an die zuständige Abteilung/Sehr geehrte Damen und Herren
committed;engagiert
stand out;hervorstechen, auffallen
state-of-the-art;hochmodern, auf dem neusten Stand der Technik
outperform;übertreffen, besser abschneiden
asset (make an asset to the company);Gewinn
persistent;hartnäckig, ausdauernd
to tackle a problem/situation;ein Problem angehen/anpacken
novel;neuartig
declaration of human rights;Menschenrechtserklärung
the primary sector;der primäre Sektor
offshoring;Verlagerung der Produktion ins Ausland
corporate strategy;Unternehmensstrategie
to digitise/digitalise something;etwas digitalisieren
tangible;fassbar, greifbar
tangible goods;Sachgüter
think tank;Expertenkommission/Ideenschmiede
